node,type
G_3892,gene
G_2703,gene
G_26580,gene
G_1213,gene
G_131669,gene
G_23040,gene
G_203228,gene
G_11235,gene
G_83605,gene
G_81,gene
G_8022,gene
G_122553,gene
G_5297,gene
G_112752,gene
G_3026,gene
G_57688,gene
G_2304,gene
G_2893,gene
G_81562,gene
G_3661,gene
G_57570,gene
G_50615,gene
G_1605,gene
G_55612,gene
G_84433,gene
G_50945,gene
G_54802,gene
G_51081,gene
G_7518,gene
G_84823,gene
G_9786,gene
G_5295,gene
G_178,gene
G_4041,gene
G_84700,gene
G_8777,gene
G_10383,gene
G_23533,gene
G_1285,gene
G_65057,gene
G_7471,gene
G_672,gene
G_83452,gene
G_7305,gene
G_54209,gene
G_4747,gene
G_22861,gene
G_7700,gene
G_109,gene
G_1453,gene
G_6655,gene
G_498,gene
G_7072,gene
G_23646,gene
G_4638,gene
G_9853,gene
G_9860,gene
G_114548,gene
G_343450,gene
G_84818,gene
G_220,gene
G_1355,gene
G_81857,gene
G_4693,gene
G_267010,gene
G_9742,gene
G_65267,gene
G_4522,gene
G_939,gene
G_55159,gene
G_25959,gene
G_375790,gene
G_8792,gene
G_200205,gene
G_51111,gene
G_790,gene
G_55689,gene
G_80155,gene
G_526,gene
G_28960,gene
G_1991,gene
G_146057,gene
G_51083,gene
G_80153,gene
G_55870,gene
G_25885,gene
G_79797,gene
G_816,gene
G_815,gene
G_152926,gene
G_5426,gene
G_1441,gene
G_4059,gene
G_1303,gene
G_55714,gene
G_246243,gene
G_1482,gene
G_5950,gene
G_8241,gene
G_9051,gene
G_51594,gene
G_83861,gene
G_85301,gene
G_84879,gene
G_1763,gene
G_27089,gene
G_1001,gene
G_3481,gene
G_54902,gene
G_6023,gene
G_59335,gene
G_7381,gene
G_6323,gene
G_79188,gene
G_9533,gene
G_7385,gene
G_3630,gene
G_6934,gene
G_5078,gene
G_3667,gene
G_6927,gene
G_3569,gene
G_3767,gene
G_5770,gene
G_5506,gene
G_169026,gene
G_4760,gene
G_6514,gene
G_8660,gene
G_2820,gene
G_5167,gene
G_5468,gene
G_2645,gene
G_3159,gene
G_9479,gene
G_56729,gene
G_3990,gene
G_7466,gene
G_3172,gene
G_4544,gene
G_3651,gene
G_10644,gene
G_675,gene
G_10280,gene
G_3386,gene
G_79651,gene
G_83938,gene
G_23189,gene
G_7476,gene
G_1832,gene
G_5080,gene
G_351,gene
G_148789,gene
G_27247,gene
G_1410,gene
G_59345,gene
G_6576,gene
G_1419,gene
G_2271,gene
G_2879,gene
G_3912,gene
G_2235,gene
G_51750,gene
G_199713,gene
G_87,gene
G_79705,gene
G_359,gene
G_4179,gene
G_23363,gene
G_629,gene
G_6916,gene
G_3426,gene
G_7056,gene
G_718,gene
G_3848,gene
G_7155,gene
G_3939,gene
G_1130,gene
G_2027,gene
G_7846,gene
G_54344,gene
G_9179,gene
G_2710,gene
G_79068,gene
G_3417,gene
G_7157,gene
G_2064,gene
G_7170,gene
G_7169,gene
G_291,gene
G_5831,gene
G_55975,gene
G_92344,gene
G_2218,gene
G_3897,gene
G_23203,gene
G_56652,gene
G_8604,gene
G_2771,gene
G_27031,gene
G_6795,gene
G_85366,gene
G_4624,gene
G_390594,gene
G_2706,gene
G_8635,gene
G_1200,gene
G_8398,gene
G_25939,gene
G_5573,gene
G_6640,gene
G_1804,gene
G_54507,gene
G_977,gene
G_9927,gene
G_2254,gene
G_2516,gene
G_2301,gene
G_6469,gene
G_11200,gene
G_10060,gene
G_64131,gene
G_368,gene
G_79365,gene
G_200373,gene
G_23529,gene
G_9657,gene
G_3549,gene
G_3851,gene
G_4668,gene
G_9487,gene
G_84233,gene
G_84153,gene
G_4254,gene
G_10535,gene
G_117155,gene
G_117144,gene
G_161497,gene
G_8823,gene
G_23224,gene
G_8517,gene
G_9935,gene
G_23345,gene
G_10262,gene
G_80821,gene
G_494513,gene
G_84515,gene
G_5894,gene
G_2997,gene
G_79755,gene
G_3291,gene
G_2629,gene
G_3909,gene
G_23322,gene
G_846,gene
G_4868,gene
G_7827,gene
G_1687,gene
G_1427,gene
G_1029,gene
G_5173,gene
G_10939,gene
G_7840,gene
G_5896,gene
G_5897,gene
G_6598,gene
G_4212,gene
G_65055,gene
G_217,gene
G_79813,gene
G_6663,gene
G_1174,gene
G_4292,gene
G_121512,gene
G_7915,gene
G_2335,gene
G_129563,gene
G_10585,gene
G_117531,gene
G_59341,gene
G_259236,gene
G_443,gene
G_1938,gene
G_1836,gene
G_83394,gene
G_1545,gene
G_4053,gene
G_7010,gene
G_222662,gene
G_8419,gene
G_79751,gene
G_8626,gene
G_9719,gene
G_9321,gene
G_554,gene
G_1299,gene
G_488,gene
G_4920,gene
G_5122,gene
G_50484,gene
G_64218,gene
G_1535,gene
G_157570,gene
G_23636,gene
G_9775,gene
G_93183,gene
G_27429,gene
G_10382,gene
G_1861,gene
G_1738,gene
G_7080,gene
G_91179,gene
G_287,gene
G_10525,gene
G_11093,gene
G_6301,gene
G_56155,gene
G_254528,gene
G_324,gene
G_7784,gene
G_5530,gene
G_10352,gene
G_708,gene
G_124583,gene
G_10095,gene
G_2232,gene
G_2178,gene
G_7453,gene
G_55644,gene
G_2006,gene
G_4352,gene
G_3643,gene
G_2464,gene
G_112858,gene
G_163786,gene
G_84617,gene
G_51002,gene
G_162514,gene
G_2548,gene
G_1917,gene
G_2697,gene
G_7222,gene
G_1314,gene
G_4780,gene
G_9213,gene
G_197135,gene
G_1293,gene
G_89,gene
G_54805,gene
G_4913,gene
G_10342,gene
G_29929,gene
G_9320,gene
G_6529,gene
G_5879,gene
G_29920,gene
G_3889,gene
G_6662,gene
G_2186,gene
G_51684,gene
G_4810,gene
G_26229,gene
G_9469,gene
G_23404,gene
G_55331,gene
G_153241,gene
G_92935,gene
G_51776,gene
G_10464,gene
G_5649,gene
G_29089,gene
G_359948,gene
G_7372,gene
G_1794,gene
G_29110,gene
G_207,gene
G_2196,gene
G_58508,gene
G_8878,gene
G_100144748,gene
G_1639,gene
G_6647,gene
G_5630,gene
G_4744,gene
G_9990,gene
G_261734,gene
G_5358,gene
G_3071,gene
G_10159,gene
G_2525,gene
G_340533,gene
G_1144,gene
G_5913,gene
G_4593,gene
G_2539,gene
G_8573,gene
G_7512,gene
G_4919,gene
G_6777,gene
G_5880,gene
G_5165,gene
G_5521,gene
G_4552,gene
G_3872,gene
G_23498,gene
G_24137,gene
G_65993,gene
G_374462,gene
G_64412,gene
G_8942,gene
G_6616,gene
G_387787,gene
G_57582,gene
G_23426,gene
G_6487,gene
G_8239,gene
G_341640,gene
G_27229,gene
G_7532,gene
G_55690,gene
G_1288,gene
G_3149,gene
G_10686,gene
G_149041,gene
G_16,gene
G_3716,gene
G_51112,gene
G_8526,gene
G_3508,gene
G_57082,gene
G_284403,gene
G_2212,gene
G_7040,gene
G_219285,gene
G_9071,gene
G_9885,gene
G_55154,gene
G_1020,gene
G_103,gene
G_7343,gene
G_150094,gene
G_85007,gene
G_1759,gene
G_3665,gene
G_124872,gene
G_1716,gene
G_1181,gene
G_4620,gene
G_1420,gene
G_4524,gene
G_3162,gene
G_4282,gene
G_1105,gene
G_10087,gene
G_1500,gene
G_5528,gene
G_204219,gene
G_2200,gene
G_57231,gene
G_285848,gene
G_5073,gene
G_8706,gene
G_23086,gene
G_1428,gene
G_55526,gene
G_55065,gene
G_9241,gene
G_7299,gene
G_5518,gene
G_113612,gene
G_2153,gene
G_9895,gene
G_2911,gene
G_402381,gene
G_3737,gene
G_63982,gene
G_91574,gene
G_55773,gene
G_23126,gene
G_57680,gene
G_8558,gene
G_23259,gene
G_2147,gene
G_2162,gene
G_27125,gene
G_92609,gene
G_1909,gene
G_5836,gene
G_58,gene
G_7173,gene
G_124590,gene
G_10329,gene
G_8818,gene
G_122961,gene
G_8989,gene
G_83636,gene
G_400916,gene
G_149233,gene
G_57679,gene
G_345193,gene
G_6635,gene
G_5741,gene
G_286204,gene
G_6017,gene
G_5959,gene
G_2071,gene
G_404672,gene
G_26160,gene
G_3752,gene
G_93233,gene
G_79734,gene
G_9427,gene
G_55151,gene
G_344,gene
G_2583,gene
G_7046,gene
G_7227,gene
G_9949,gene
G_139212,gene
G_51574,gene
G_57459,gene
G_6134,gene
G_1499,gene
G_1291,gene
G_2774,gene
G_8473,gene
G_9526,gene
G_317719,gene
G_442186,gene
G_29887,gene
G_1747,gene
G_92667,gene
G_8492,gene
G_2250,gene
G_176,gene
G_23218,gene
G_10916,gene
G_57534,gene
G_1977,gene
G_51132,gene
G_63925,gene
G_537,gene
G_3756,gene
G_8622,gene
G_91851,gene
G_2010,gene
G_3858,gene
G_5077,gene
G_80311,gene
G_22852,gene
G_4478,gene
G_633,gene
G_1814,gene
G_9758,gene
G_389856,gene
G_10149,gene
G_3188,gene
G_7253,gene
G_10058,gene
G_1244,gene
G_6324,gene
G_7045,gene
G_24,gene
G_57187,gene
G_3236,gene
G_54539,gene
G_7737,gene
G_55651,gene
G_55505,gene
G_6935,gene
G_1296,gene
G_79574,gene
G_83706,gene
G_9060,gene
G_259197,gene
G_10682,gene
G_6872,gene
G_4841,gene
G_28952,gene
G_3557,gene
G_7297,gene
G_1654,gene
G_57038,gene
G_23385,gene
G_3145,gene
G_4645,gene
G_3728,gene
G_51119,gene
G_4683,gene
G_5551,gene
G_2617,gene
G_2299,gene
G_3766,gene
G_5172,gene
G_81624,gene
G_25978,gene
G_6906,gene
G_6748,gene
G_4094,gene
G_11043,gene
G_283989,gene
G_875,gene
G_4853,gene
G_5354,gene
G_83550,gene
G_90121,gene
G_272,gene
G_4327,gene
G_51473,gene
G_6559,gene
G_1414,gene
G_1829,gene
G_135935,gene
G_9987,gene
G_161742,gene
G_50717,gene
G_673,gene
G_730,gene
G_79083,gene
G_5352,gene
G_1411,gene
G_7879,gene
G_3717,gene
G_2512,gene
G_146167,gene
G_8754,gene
G_144568,gene
G_525,gene
G_1301,gene
G_84876,gene
G_220074,gene
G_50814,gene
G_2688,gene
G_3988,gene
G_6261,gene
G_6786,gene
G_5015,gene
G_26504,gene
G_1509,gene
G_9499,gene
G_80326,gene
G_51057,gene
G_11232,gene
G_70,gene
G_64241,gene
G_55636,gene
G_1729,gene
G_113235,gene
G_1906,gene
G_5625,gene
G_7168,gene
G_4607,gene
G_51422,gene
G_7139,gene
G_1277,gene
G_799,gene
G_8572,gene
G_153562,gene
G_107,gene
G_5340,gene
G_866,gene
G_2488,gene
G_6899,gene
G_2627,gene
G_137814,gene
G_132884,gene
G_2121,gene
G_1186,gene
G_9992,gene
G_919,gene
G_9842,gene
G_84662,gene
G_7048,gene
G_50511,gene
G_2303,gene
G_2316,gene
G_23592,gene
G_6708,gene
G_79621,gene
G_7026,gene
G_124997,gene
G_23414,gene
G_3596,gene
G_117156,gene
G_7124,gene
G_3135,gene
G_4589,gene
G_3176,gene
G_240,gene
G_5648,gene
G_26115,gene
G_5324,gene
G_8091,gene
G_3718,gene
G_5244,gene
G_6652,gene
G_137682,gene
G_23291,gene
G_131118,gene
G_4363,gene
G_169792,gene
G_55152,gene
G_23097,gene
G_2891,gene
G_4131,gene
G_83872,gene
G_10878,gene
G_3078,gene
G_6326,gene
G_1000,gene
G_5837,gene
G_2917,gene
G_4361,gene
G_23746,gene
G_55764,gene
G_717,gene
G_25,gene
G_79415,gene
G_56479,gene
G_23152,gene
G_149461,gene
G_80736,gene
G_23312,gene
G_29980,gene
G_9863,gene
G_401138,gene
G_84172,gene
G_60,gene
G_9997,gene
G_200879,gene
G_10755,gene
G_81689,gene
G_2517,gene
G_55329,gene
G_199221,gene
G_80232,gene
G_3570,gene
G_1890,gene
G_5428,gene
G_1180,gene
G_26503,gene
G_55617,gene
G_6182,gene
G_28957,gene
G_80210,gene
G_4190,gene
G_2625,gene
G_51649,gene
G_5978,gene
G_9371,gene
G_9681,gene
G_10137,gene
G_8292,gene
G_113246,gene
G_80208,gene
G_1123,gene
G_51,gene
G_5331,gene
G_10274,gene
G_4038,gene
G_10625,gene
G_7515,gene
G_5726,gene
G_57728,gene
G_64787,gene
G_84059,gene
G_8864,gene
G_5631,gene
G_5205,gene
G_9699,gene
G_55553,gene
G_1468,gene
G_8884,gene
G_23288,gene
G_5087,gene
G_1140,gene
G_676,gene
G_84148,gene
G_4654,gene
G_114902,gene
G_5274,gene
G_1409,gene
