gene_id,gene_symbol,disease_id,association_type
7480,WNT10B,OMIM:225300,MENDELIAN
1145,CHRNE,OMIM:605809,MENDELIAN
2334,AFF2,OMIM:309548,MENDELIAN
24140,FTSJ1,OMIM:309549,MENDELIAN
6928,HNF1B,OMIM:137920,MENDELIAN
3054,HCFC1,OMIM:309541,MENDELIAN
4625,MYH7,OMIM:255160,MENDELIAN
4647,MYO7A,OMIM:276900,MENDELIAN
10083,USH1C,OMIM:276900,MENDELIAN
79955,PDZD7,OMIM:276901,POLYGENIC
7399,USH2A,OMIM:276901,MENDELIAN
6331,SCN5A,OMIM:113900,MENDELIAN
7401,CLRN1,OMIM:276902,MENDELIAN
10083,USH1C,OMIM:276904,MENDELIAN
27316,RBMX,OMIM:309555,MENDELIAN
208,AKT2,OMIM:240900,MENDELIAN
434,ASIP,OMIM:611742,MENDELIAN
2065,ERBB3,OMIM:243180,MENDELIAN
7291,TWIST1,OMIM:180750,MENDELIAN
4210,MEFV,OMIM:608068,MENDELIAN
9294,S1PR2,OMIM:610419,MENDELIAN
3914,LAMB3,OMIM:226650,MENDELIAN
1308,COL17A1,OMIM:226650,MENDELIAN
1278,COL1A2,OMIM:225320,MENDELIAN
4609,MYC,OMIM:113970,MENDELIAN
8842,PROM1,OMIM:608051,MENDELIAN
9968,MED12,OMIM:309520,MENDELIAN
3588,IL10RB,OMIM:610424,POLYGENIC
3459,IFNGR1,OMIM:610424,POLYGENIC
3455,IFNAR2,OMIM:610424,POLYGENIC
80184,CEP290,OMIM:611755,MENDELIAN
1413,CRYBA4,OMIM:610425,MENDELIAN
57010,CABP4,OMIM:610427,MENDELIAN
162417,NAGS,OMIM:237310,MENDELIAN
128178,EDARADD,OMIM:129490,MENDELIAN
10913,EDAR,OMIM:129490,MENDELIAN
2993,GYPA,OMIM:111300,MENDELIAN
51360,MBTPS2,OMIM:308205,MENDELIAN
2324,FLT4,OMIM:153100,MENDELIAN
91662,NLRP12,OMIM:611762,MENDELIAN
23096,IQSEC2,OMIM:309530,MENDELIAN
2799,GNS,OMIM:252940,MENDELIAN
10084,PQBP1,OMIM:309500,MENDELIAN
5339,PLEC,OMIM:226670,MENDELIAN
2521,FUS,OMIM:608030,MENDELIAN
348,APOE,OMIM:611771,MENDELIAN
54187,NANS,OMIM:610442,MENDELIAN
1282,COL4A1,OMIM:611773,MENDELIAN
284058,KANSL1,OMIM:610443,MENDELIAN
2779,GNAT1,OMIM:610444,MENDELIAN
6010,RHO,OMIM:610445,MENDELIAN
6556,SLC11A1,OMIM:610446,POLYGENIC
60506,NYX,OMIM:310500,MENDELIAN
138050,HGSNAT,OMIM:252930,MENDELIAN
23171,GPD1L,OMIM:611777,MENDELIAN
11277,TREX1,OMIM:610448,MENDELIAN
1855,DVL1,OMIM:180700,MENDELIAN
7474,WNT5A,OMIM:180700,MENDELIAN
5903,RANBP2,OMIM:608033,POLYGENIC
2034,EPAS1,OMIM:611783,MENDELIAN
337,APOA4,OMIM:621106,MENDELIAN
54809,SAMD9,OMIM:610455,MENDELIAN
170302,ARX,OMIM:309510,MENDELIAN
27445,PCLO,OMIM:608027,MENDELIAN
1373,CPS1,OMIM:237300,MENDELIAN
59,ACTA2,OMIM:611788,MENDELIAN
4669,NAGLU,OMIM:252920,MENDELIAN
60678,EEFSEC,OMIM:621102,MENDELIAN
7818,DAP3,OMIM:621101,MENDELIAN
144577,KICS2,OMIM:621100,MENDELIAN
3852,KRT5,OMIM:609352,MENDELIAN
168667,BMPER,OMIM:608022,MENDELIAN
773,CACNA1A,OMIM:183086,MENDELIAN
2643,GCH1,OMIM:128230,MENDELIAN
26128,KIFBP,OMIM:609460,MENDELIAN
80308,FLAD1,OMIM:255100,MENDELIAN
5961,PRPH2,OMIM:608133,MENDELIAN
6094,ROM1,OMIM:608133,MENDELIAN
55811,ADCY10,OMIM:143870,POLYGENIC
126792,B3GALT6,OMIM:609465,MENDELIAN
5376,PMP22,OMIM:180800,MENDELIAN
4359,MPZ,OMIM:180800,MENDELIAN
478,ATP1A3,OMIM:128235,MENDELIAN
9401,RECQL4,OMIM:268400,MENDELIAN
727897,MUC5B,OMIM:178500,POLYGENIC
729238,SFTPA2,OMIM:178500,MENDELIAN
6440,SFTPC,OMIM:178500,MENDELIAN
7015,TERT,OMIM:178500,MENDELIAN
7012,TERC,OMIM:178500,MENDELIAN
89910,UBE3B,OMIM:244450,MENDELIAN
6311,ATXN2,OMIM:183090,MENDELIAN
1135,CHRNA2,OMIM:610353,MENDELIAN
169522,KCNV2,OMIM:610356,MENDELIAN
547,KIF1A,OMIM:610357,MENDELIAN
1286,COL4A4,OMIM:141200,MENDELIAN
5133,PDCD1,OMIM:621004,MENDELIAN
23020,SNRNP200,OMIM:610359,MENDELIAN
84690,SPATA22,OMIM:621002,MENDELIAN
84690,SPATA22,OMIM:621001,MENDELIAN
771,CA12,OMIM:143860,MENDELIAN
11155,LDB3,OMIM:609452,MENDELIAN
25778,DSTYK,OMIM:270750,MENDELIAN
7780,SLC30A2,OMIM:608118,MENDELIAN
64324,NSD1,OMIM:117550,MENDELIAN
6521,SLC4A1,OMIM:179800,MENDELIAN
10842,PPP1R17,OMIM:143890,POLYGENIC
2053,EPHX2,OMIM:143890,POLYGENIC
336,APOA2,OMIM:143890,POLYGENIC
3949,LDLR,OMIM:143890,MENDELIAN
