gene_id,disease_id
6611,OMIM:309583
1374,OMIM:255120
81887,OMIM:309585
91181,OMIM:621057
6833,OMIM:256450
84230,OMIM:621056
23479,OMIM:255125
8692,OMIM:621063
28982,OMIM:621060
54463,OMIM:201300
6335,OMIM:201300
65125,OMIM:201300
547,OMIM:201300
9276,OMIM:617800
1376,OMIM:255110
22907,OMIM:617804
7407,OMIM:617802
196528,OMIM:617808
9230,OMIM:617807
6400,OMIM:621068
80000,OMIM:617805
6400,OMIM:621067
23269,OMIM:621065
29761,OMIM:621064
4054,OMIM:617809
10075,OMIM:309590
2987,OMIM:621071
8733,OMIM:617810
4688,OMIM:233710
199699,OMIM:621079
5279,OMIM:617816
50943,OMIM:304790
26353,OMIM:621078
148345,OMIM:621080
84162,OMIM:617822
1806,OMIM:274270
1278,OMIM:617821
2902,OMIM:617820
2263,OMIM:207410
5447,OMIM:207410
10587,OMIM:617825
3861,OMIM:131800
2561,OMIM:617829
54822,OMIM:105500
9837,OMIM:617827
7187,OMIM:621096
9531,OMIM:621095
9531,OMIM:621094
80336,OMIM:621093
5159,OMIM:621091
25953,OMIM:118800
128338,OMIM:616502
10560,OMIM:249270
388753,OMIM:616501
116150,OMIM:617831
493753,OMIM:616500
4915,OMIM:617830
79947,OMIM:617836
91137,OMIM:616505
57211,OMIM:616503
4047,OMIM:616509
311,OMIM:617839
6678,OMIM:616507
1490,OMIM:621099
10804,OMIM:129500
3662,OMIM:621097
3784,OMIM:220400
2632,OMIM:263570
4891,OMIM:206100
26060,OMIM:616511
22926,OMIM:616517
4000,OMIM:616516
9750,OMIM:616515
653361,OMIM:233700
27019,OMIM:244400
3892,OMIM:158000
2703,OMIM:116200
26580,OMIM:269700
1213,OMIM:617854
131669,OMIM:276880
23040,OMIM:616521
203228,OMIM:105550
11235,OMIM:603285
83605,OMIM:603284
81,OMIM:603278
8022,OMIM:221750
122553,OMIM:617862
5297,OMIM:616531
112752,OMIM:617866
3026,OMIM:616535
57688,OMIM:617865
2304,OMIM:616534
2893,OMIM:617864
81562,OMIM:617863
3661,OMIM:616532
57570,OMIM:616539
50615,OMIM:615207
1605,OMIM:616538
55612,OMIM:173650
84433,OMIM:615206
50945,OMIM:303400
54802,OMIM:617873
51081,OMIM:617872
7518,OMIM:616541
112752,OMIM:617871
84823,OMIM:616540
650,OMIM:617877
